Year	Month	preci	Tmin	Tmax	Tavg	PET
1980	1	20	4.06	17.84	10.95	14.1349645
1980	2	10.93	6.9	19.28	13.09	20.950091
1980	3	23.22	10.13	22.1	16.115	41.218042
1980	4	14.12	18.2	32.5	25.35	128.8358713
1980	5	7.65	22.32	36.74	29.53	204.3403935
1980	6	7.8	23.77	38.4	31.085	230.8162616
1980	7	117.15	23.26	35.84	29.55	208.6878642
1980	8	21	22.61	34.97	28.79	186.5790538
1980	9	12.79	20.27	33.43	26.85	141.9652652
1980	10	21	17.03	30.42	23.725	100.6120684
1980	11	3	9.97	23.67	16.82	39.4007422
1980	12	0	6.61	20.29	13.45	22.833167
1981	1	9.92	4.61	15.94	10.275	12.1198976
1981	2	11.07	7.04	15.08	11.06	13.9404354
1981	3	15.28	11.19	22.81	17	46.904435
1981	4	11	18.5	31.57	25.035	124.9999742
1981	5	10.13	22.29	35.84	29.065	196.6488573
1981	6	6	25.1	38.8	31.95	246.6497617
1981	7	75.61	23.81	35.68	29.745	212.0323896
1981	8	55.6	19.77	30.75	25.26	136.0002302
1981	9	18	16.57	29.3	22.935	96.9902514
1981	10	7	15.13	28.84	21.985	83.6924164
1981	11	4	5.77	19.7	12.735	20.1107443
1981	12	1.7	2.42	15.45	8.935	8.4954248
1982	1	48.96	6.71	12.64	9.675	10.479308
1982	2	147.14	8.54	10.65	9.595	9.8878953
1982	3	105.82	5.55	19.18	12.365	21.7274809
1982	4	115	15.6	24.36	19.98	72.4651893
1982	5	118.61	18.87	31.68	25.275	140.2849748
1982	6	0.01	30.13	33.22	31.675	241.5491679
1982	7	13.48	25	36.8	30.9	232.4852405
1982	8	48.42	23.13	29.44	26.285	149.7261885
1982	9	0.42	20.4	34	27.2	146.4800658
1982	10	17.93	16.42	28.64	22.53	88.7960226
1982	11	6.67	20.3	22.87	21.585	72.0048805
1982	12	94.88	12.52	16.35	14.435	27.0872081
1983	1	2.91	12.03	4.19	8.11	6.8405961
1983	2	22.56	9	11	10	10.9271446
1983	3	11.8	7.9	17.59	12.745	23.3768849
1983	4	60.82	13.73	25.71	19.72	70.2066731
1983	5	5.27	17.16	30.06	23.61	118.9790451
1983	6	4.74	24.23	37.42	30.825	226.1770716
1983	7	48.6	-20	34	7	6.4204968
1983	8	3	22.84	33.28	28.06	175.3477629
1983	9	93.03	21.2	33.31	27.255	147.1970779
1983	10	0	15.55	29.68	22.615	89.6079992
1983	11	0	13.07	25.27	19.17	54.0503066
1983	12	6.2	5.26	18.49	11.875	16.8972936
1984	1	7.5	2.61	15.41	9.01	8.8221507
1984	2	2.86	3.62	16.15	9.885	10.6258519
1984	3	9	14.39	26.88	20.635	74.927951
1984	4	19.7	17.43	30.65	24.04	113.3270399
1984	5	0	24.55	37.07	30.81	226.4128115
1984	6	0	26.23	39.66	32.945	265.6293058
1984	7	173.86	22.94	34.54	28.74	195.1275243
1984	8	202.83	22.65	32.69	27.67	169.5144014
1984	9	73.1	19.47	31.4	25.435	124.5503668
1984	10	0	14.23	29.16	21.695	81.0486778
1984	11	0	10.07	23.94	17.005	40.4564879
1984	12	0.1	7	3.27	5.135	2.2268531
1985	1	7.61	3.52	12.58	8.05	6.7189002
1985	2	0	8	4.12	6.06	3.2559361
1985	3	24.65	10.42	22.59	16.505	43.6708492
1985	4	31.6	16.53	29.1	22.815	99.8681073
1985	5	13.7	22.35	35.5	28.925	194.3669538
1985	6	61.3	24.73	38.41	31.57	239.6181362
1985	7	94.51	23.29	34.16	28.725	194.881434
1985	8	41.79	23.1	35.22	29.16	192.4282939
1985	9	0	20.67	34.76	27.715	153.2744873
1985	10	1.2	15.29	29.44	22.365	87.2321877
1985	11	0.49	11.3	24.46	17.88	45.6734121
1985	12	8.09	5.94	18.72	12.33	18.5050597
1986	1	0.64	3.26	16.99	10.125	11.6966121
1986	2	13.52	5.57	13.06	9.315	9.2047532
1986	3	26.03	10.84	22.28	16.56	44.0234601
1986	4	7.47	17.63	30.05	23.84	111.0613725
1986	5	10.34	22.61	35.12	28.865	193.3937725
1986	6	12.37	24.87	38.11	31.49	238.1529701
1986	7	17.46	23.94	35.92	29.93	215.2342594
1986	8	42.54	22.52	33.06	27.79	171.2969619
1986	9	0.89	20.4	33.87	27.135	145.6353332
1986	10	1.35	17.06	30.77	23.915	102.5708682
1986	11	5.36	11.03	24.62	17.825	45.3345341
1986	12	1.07	3.77	17.74	10.755	13.2989326
1987	1	0.01	5.06	17.95	11.505	15.9294358
1987	2	18.98	2.75	14.42	8.585	7.5567758
1987	3	38	11.39	23.08	17.235	48.4871647
1987	4	7.8	16.37	3.6	9.985	13.5494428
1987	5	31.2	19.26	32.62	25.94	149.3741744
1987	6	6	24.13	37.19	30.66	223.261577
1987	7	56.62	-3.74	6.92	1.59	0.1784616
1987	8	117	24.16	36.68	30.42	213.1468779
1987	9	0	22.23	36.25	29.24	174.4626561
1987	10	0	13.06	30.42	21.74	81.4556539
1987	11	0	7.03	22.1	14.565	27.8217943
1987	12	0	18.13	21	19.565	56.4938844
1988	1	17	6.45	18.56	12.505	19.4849768
1988	2	4	7.14	19.92	13.53	22.6931088
1988	3	52.4	10.42	23	16.71	44.9935892
1988	4	7	2.03	32.06	17.045	49.3558697
1988	5	1	24.45	37.39	30.92	228.3718008
1988	6	51.2	24.5	38.52	31.51	238.5187677
1988	7	43.42	23.71	35.11	29.41	206.3058724
1988	8	17.03	22.55	34.55	28.55	182.8414405
1988	9	9.3	19.8	34.46	27.13	145.5704724
1988	10	0	15.26	30.57	22.915	92.5085107
1988	11	5	9.3	24.91	17.105	41.0339869
1988	12	5	5.65	19.56	12.605	19.5185594
1989	1	8	1	11.49	6.245	3.6371183
1989	2	0.7	4	13.2	8.6	7.5887322
1989	3	94.08	9.06	21.19	15.125	35.3611955
1989	4	7.2	15.23	28.1	21.665	88.1312162
1989	5	0.6	20.26	34.37	27.315	169.2383306
1989	6	35.9	21.8	36.7	29.25	199.2457274
1989	7	93.67	17.9	29.67	23.785	123.4967088
1989	8	93.8	22.32	29.23	25.775	142.7999799
1989	9	18	8.2	24.98	16.59	44.3330811
1989	10	0	16.16	31.05	23.605	99.386327
1989	11	4	10.83	24.22	17.525	43.5120893
1989	12	19.8	2.58	13.92	8.25	7.0056439
1990	1	17.6	6.58	17.19	11.885	17.2311719
1990	2	22.6	6.82	16.9	11.86	16.5041154
1990	3	23.6	10.74	22.55	16.645	44.5716776
1990	4	66	16.73	29.04	22.885	100.6104084
1990	5	17	23.1	36.48	29.79	208.7166308
1990	6	54.4	23.87	36.75	30.31	217.1504677
1990	7	16.2	25.03	36.23	30.63	227.6050304
1990	8	134.7	23.23	33.86	28.545	182.7640448
1990	9	5.9	21.83	33.33	27.58	151.475947
1990	10	0	15.48	29.1	22.29	86.5267342
1990	11	0	11.1	24.02	17.56	43.7224509
1990	12	0.45	5.65	22	13.825	24.4025787
1991	1	0	3.71	21	12.355	18.924783
1991	2	18.8	5.64	24	14.82	28.281311
1991	3	12.5	11.39	26	18.695	59.0190301
1991	4	20.6	14.47	29	21.735	88.8211302
1991	5	22.39	20.9	33	26.95	163.8233351
1991	6	18.77	25.07	38.37	31.72	242.379536
1991	7	6.09	25.97	39.81	32.89	270.3444706
1991	8	22.01	24.39	35.59	29.99	205.9365225
1991	9	14.91	21.2	33.6	27.4	149.097231
1991	10	1.58	15.52	28.57	22.045	84.2456168
1991	11	0.37	10.47	22.65	16.56	37.9445771
1991	12	3.41	7.1	18.34	12.72	19.951808
1992	1	27.03	4.16	15.05	9.605	10.2969681
1992	2	15.68	5.69	16.02	10.855	13.324011
1992	3	32	10.03	21.65	15.84	39.5382692
1992	4	29	14.27	25.45	19.86	71.417587
1992	5	31.29	19.81	32.33	26.07	151.190199
1992	6	23.61	24.43	38.52	31.475	237.8788378
1992	7	117	23.19	33.41	28.3	187.9843836
1992	8	66.54	22.84	33.36	28.1	175.9526067
1992	9	21	19.97	32.14	26.055	132.0165727
1992	10	16	15.61	28.94	22.275	86.3860463
1992	11	4	10.6	24.08	17.34	42.4100439
1992	12	3	7.94	20.58	14.26	26.3002044
1993	1	34.17	5	14.86	9.93	11.1594816
1993	2	3	9.11	22.03	15.57	31.8660054
1993	3	8.2	10.32	21.93	16.125	41.2798977
1993	4	25.63	16.83	29.46	23.145	103.3957951
1993	5	15.43	23.19	36.77	29.98	211.9490858
1993	6	108	23.83	36.95	30.39	218.5385295
1993	7	119.41	23.39	35.32	29.355	205.3744738
1993	8	62.4	22.94	36.49	29.715	201.4013478
1993	9	57	21.07	33.82	27.445	149.6898409
1993	10	0	15.32	30.18	22.75	90.906526
1993	11	0	11.03	27.46	19.245	54.5628994
1993	12	0	6.97	21.2	14.085	25.5267712
1994	1	2	4.81	17.3	11.055	14.4648378
1994	2	60.67	5.79	17.16	11.475	15.2386817
1994	3	13.95	13.77	25.77	19.77	67.5596239
1994	4	36	15.4	27.8	21.6	87.4934044
1994	5	0	22.03	31.38	26.705	160.2463935
1994	6	8	25.03	38.57	31.8	243.8598732
1994	7	70.17	23.35	33.33	28.34	188.6273116
1994	8	31	23.74	32.97	28.355	179.8372319
1994	9	6	19.2	31.07	25.135	121.0288693
1994	10	2	15.29	35.29	25.29	117.4120108
1994	11	0	11.7	25.05	18.375	48.7901705
1994	12	9.89	6.48	17.98	12.23	18.144349
1995	1	4.45	3.84	15.97	9.905	11.0916876
1995	2	6.39	7.14	19.15	13.145	21.16351
1995	3	0	10.03	22.05	16.04	40.7558561
1995	4	40	14.77	26.96	20.865	80.4692963
1995	5	0.06	21.84	34.45	28.145	181.9381868
1995	6	8	25.03	38.78	31.905	245.8108411
1995	7	57.89	24.48	35.3	29.89	214.5395785
1995	8	12.71	23.23	33.22	28.225	177.8506201
1995	9	30	20.7	34.26	27.48	150.1517129
1995	10	4	16.52	30.02	23.27	96.0109802
1995	11	0	10.33	24.95	17.64	44.2055128
1995	12	2	6	17.42	11.71	16.335327
1996	1	0	3.71	15.45	9.58	10.2323011
1996	2	9	7.17	19.52	13.345	21.9502958
1996	3	3.52	12.32	24.11	18.215	55.422414
1996	4	0	17.9	31.37	24.635	120.226659
1996	5	0	21.61	33.23	27.42	170.8152193
1996	6	1	23.83	36.7	30.265	216.371961
1996	7	69.59	23.81	35.68	29.745	212.0323896
1996	8	2.26	23.77	35.15	29.46	197.2488161
1996	9	15	21.97	34.72	28.345	161.8328269
1996	10	10.28	15.55	29.99	22.77	91.0998324
1996	11	0	11.23	24.67	17.95	46.1068531
